ano,trimestre,CodigoDepartamento,departamento,CodigoMunicipio,municipio,impuestomes1,impuestomes2,impuestomes3,totalimpuesto
2015,3,15,BOYACA,15455,MIRAFLORES,320588860.203812,328721480.07364398,316041959.08577299,965352299.36322904
2015,3,15,BOYACA,15469,MONIQUIRA,41095137.460619703,42136395.997518897,40509830.841711603,123741364.29985
2015,3,15,BOYACA,15507,OTANCHE,451285822.00356901,462868120.49887699,445152540.92383802,1359306483.42628
2015,3,15,BOYACA,15514,PAEZ,180848630.93435299,185437101.32754999,178285148.347734,544570880.60963595
2015,3,15,BOYACA,15531,PAUNA,8627.1247308463207,10618.916381680399,12036.271858259401,31282.312970786101
2015,3,15,BOYACA,15599,RAMIRIQUI,139754507.160889,143301953.052706,137776731.76796499,420833191.98155999
2015,3,15,BOYACA,15639,SACHICA,115085265.152209,118005147.891554,113453867.537754,346544280.58151698
2015,3,15,BOYACA,15646,SAMACA,189071941.99390501,193869653.219037,186393089.72505301,569334684.93799603
2015,3,15,BOYACA,15667,SAN LUIS DE GACENO,32877606.574636601,33710958.7800074,32409952.766536701,98998518.121180594
2015,3,15,BOYACA,15696,SAN SOFIA,213726323.78023601,219148167.29672101,210695221.476989,643569712.55394602
2015,3,15,BOYACA,15776,SUTAMARCHAN,10190715.9745636,10448746.134832,10045213.9264456,30684676.035841201
2015,3,15,BOYACA,15832,TUNUNGUA,150974.68278981099,185831.036679407,210634.75751953901,547440.47698875703
2015,3,15,BOYACA,15861,VENTAQUEMADA,65766967.606719002,67436386.8335848,64836304.953480199,198039659.39378399
2015,3,15,BOYACA,15407,VILLA DE LEYVA,162431304.02502701,166551742.565714,160127388.16998199,489110434.76072299
2015,3,15,BOYACA,15897,ZETAQUIRA,189079275.049927,193878679.29796201,186403320.556133,569361274.90402102
2015,3,17,CALDAS,17380,LA DORADA,207910842,192890960,179508094,580309896
2015,3,85,CASANARE,85125,HATO COROZAL,11486521.631407101,16645742.080798101,49709993.858862102,77842257.571067303
2015,3,85,CASANARE,85162,MONTEREY,1979218500.7490101,1996777466.60711,1961690175.4379599,5937686142.7940702
2015,3,85,CASANARE,85225,NUNCHIA,6920150.5014556702,10028366.3018866,29948198.807344101,46896715.610686399
2015,3,85,CASANARE,85263,PORE,4153528.8075871202,6019103.7359404201,17975144.8899974,28147777.433524899
2015,3,85,CASANARE,85300,SABANALARGA,303693979.310543,312132111.27427,300174156.00584,916000246.59065294
2015,3,19,CAUCA,19933,PIAMONTE,482691,0,0,482691
2015,3,20,CESAR,20011,AGUACHICA,204303530,186991674,154772581,546067785
2015,3,20,CESAR,20175,CHIMICHAGUA,31537216,37466560,41546107,110549883
2015,3,20,CESAR,20295,GAMARRA,69196722,63364300,52466539,185027561
2015,3,20,CESAR,20383,LA GLORIA,98590502,94080977,80864892,273536371
2015,3,20,CESAR,20517,PAILITAS,12186321,14477484,16053865,42717670
2015,3,20,CESAR,20550,PELAYA,22067900,25001154,23491475,70560529
2015,3,20,CESAR,20614,RIO DE ORO,33852498,30982733,25646559,90481790
2015,3,20,CESAR,20710,SAN ALBERTO,79347778,72645757,60156601,212150136
2015,3,20,CESAR,20787,TAMALAMEQUE,26619210,28875968,22454779,77949957
2015,3,23,CORDOBA,23079,BUENAVISTA,196032272,209089008,203086602,608207882
2015,3,23,CORDOBA,23182,CHINU,36237793,38650979,37544272,112433044
2015,3,23,CORDOBA,23350,LA APARTADA,93186123,99392097,96543377,289121597
2015,3,23,CORDOBA,23464,MOMIL,67935674,72460511,70380495,210776680
2015,3,23,CORDOBA,23555,PLANETA RICA,121991480,130116749,126381283,378489512
2015,3,23,CORDOBA,23570,PUEBLO NUEVO,121582774,129680762,125958208,377221744
2015,3,23,CORDOBA,23660,SAHAGUN,299046353,318965155,309803121,927814629
2015,3,23,CORDOBA,23670,SAN ANDRES DE SOTAVENTO,191856578,204635133,198760976,595252687
2015,3,23,CORDOBA,23815,TUCHIN,61253919,65333539,63459301,190046759
2015,3,25,CUNDINAMARCA,25148,CAPARRAPI,4900984,5054352,5093640,15048976
2015,3,25,CUNDINAMARCA,25320,GUADUAS,94498760,97455929,98213470,290168159
2015,3,25,CUNDINAMARCA,25530,PARATEBUENO,189589900,193193406,187098809,569882115
2015,3,90,DEPARTAMENTO NN,90999,MUNICIPIO NN,17191,1316267,1046980,2380438
2015,3,41,HUILA,41132,CAMPOALEGRE,8539938.3223952409,8104044.9606636204,7602104.9547529798,24246088.2378118
2015,3,41,HUILA,41349,HOBO,1248923.7862791501,1185176.5357492301,1111770.28982553,3545870.6118539101
2015,3,41,HUILA,41524,PALERMO,37339552.630941197,38171735.147918999,36814621.800974198,112325909.579834
